! first line is a count of cells
1024
! then [x,y,z] position of each cell
! and amplitude and phase
! default units for position are model units
! default units for amplitude is Volts
! default units for phase is radians
350.000000mm 	1876.000000mm 	0.000000mm 	1.000000mV 	160.719094deg
375.000000mm 	1943.000000mm 	0.000000mm 	1.000000mV 	122.725454deg
350.000000mm 	2010.000000mm 	0.000000mm 	1.000000mV 	105.380531deg
375.000000mm 	2077.000000mm 	0.000000mm 	1.000000mV 	67.386891deg
400.000000mm 	0.000000mm 	0.000000mm 	1.000000mV 	-165.189741deg
425.000000mm 	67.000000mm 	0.000000mm 	1.000000mV 	156.816619deg
400.000000mm 	134.000000mm 	0.000000mm 	1.000000mV 	139.471696deg
425.000000mm 	201.000000mm 	0.000000mm 	1.000000mV 	101.478056deg
400.000000mm 	268.000000mm 	0.000000mm 	1.000000mV 	84.133133deg
425.000000mm 	335.000000mm 	0.000000mm 	1.000000mV 	46.139493deg
400.000000mm 	402.000000mm 	0.000000mm 	1.000000mV 	28.794570deg
425.000000mm 	469.000000mm 	0.000000mm 	1.000000mV 	-9.199070deg
400.000000mm 	536.000000mm 	0.000000mm 	1.000000mV 	-26.543993deg
425.000000mm 	603.000000mm 	0.000000mm 	1.000000mV 	-64.537633deg
400.000000mm 	670.000000mm 	0.000000mm 	1.000000mV 	-81.882556deg
425.000000mm 	737.000000mm 	0.000000mm 	1.000000mV 	-119.876196deg
400.000000mm 	804.000000mm 	0.000000mm 	1.000000mV 	-137.221119deg
425.000000mm 	871.000000mm 	0.000000mm 	1.000000mV 	-175.214759deg
400.000000mm 	938.000000mm 	0.000000mm 	1.000000mV 	167.440318deg
425.000000mm 	1005.000000mm 	0.000000mm 	1.000000mV 	129.446678deg
400.000000mm 	1072.000000mm 	0.000000mm 	1.000000mV 	112.101755deg
425.000000mm 	1139.000000mm 	0.000000mm 	1.000000mV 	74.108115deg
400.000000mm 	1206.000000mm 	0.000000mm 	1.000000mV 	56.763192deg
425.000000mm 	1273.000000mm 	0.000000mm 	1.000000mV 	18.769552deg
400.000000mm 	1340.000000mm 	0.000000mm 	1.000000mV 	1.424629deg
425.000000mm 	1407.000000mm 	0.000000mm 	1.000000mV 	-36.569011deg
400.000000mm 	1474.000000mm 	0.000000mm 	1.000000mV 	-53.913934deg
425.000000mm 	1541.000000mm 	0.000000mm 	1.000000mV 	-91.907575deg
400.000000mm 	1608.000000mm 	0.000000mm 	1.000000mV 	-109.252497deg
425.000000mm 	1675.000000mm 	0.000000mm 	1.000000mV 	-147.246138deg
400.000000mm 	1742.000000mm 	0.000000mm 	1.000000mV 	-164.591060deg
425.000000mm 	1809.000000mm 	0.000000mm 	1.000000mV 	157.415299deg
400.000000mm 	1876.000000mm 	0.000000mm 	1.000000mV 	140.070377deg
425.000000mm 	1943.000000mm 	0.000000mm 	1.000000mV 	102.076736deg
400.000000mm 	2010.000000mm 	0.000000mm 	1.000000mV 	84.731813deg
425.000000mm 	2077.000000mm 	0.000000mm 	1.000000mV 	46.738173deg
450.000000mm 	0.000000mm 	0.000000mm 	1.000000mV 	174.161542deg
475.000000mm 	67.000000mm 	0.000000mm 	1.000000mV 	136.167902deg
450.000000mm 	134.000000mm 	0.000000mm 	1.000000mV 	118.822979deg
475.000000mm 	201.000000mm 	0.000000mm 	1.000000mV 	80.829339deg
450.000000mm 	268.000000mm 	0.000000mm 	1.000000mV 	63.484416deg
475.000000mm 	335.000000mm 	0.000000mm 	1.000000mV 	25.490775deg
450.000000mm 	402.000000mm 	0.000000mm 	1.000000mV 	8.145853deg
475.000000mm 	469.000000mm 	0.000000mm 	1.000000mV 	-29.847788deg
450.000000mm 	536.000000mm 	0.000000mm 	1.000000mV 	-47.192710deg
475.000000mm 	603.000000mm 	0.000000mm 	1.000000mV 	-85.186351deg
450.000000mm 	670.000000mm 	0.000000mm 	1.000000mV 	-102.531273deg
475.000000mm 	737.000000mm 	0.000000mm 	1.000000mV 	-140.524914deg
450.000000mm 	804.000000mm 	0.000000mm 	1.000000mV 	-157.869836deg
475.000000mm 	871.000000mm 	0.000000mm 	1.000000mV 	164.136523deg
450.000000mm 	938.000000mm 	0.000000mm 	1.000000mV 	146.791600deg
475.000000mm 	1005.000000mm 	0.000000mm 	1.000000mV 	108.797960deg
450.000000mm 	1072.000000mm 	0.000000mm 	1.000000mV 	91.453037deg
475.000000mm 	1139.000000mm 	0.000000mm 	1.000000mV 	53.459397deg
450.000000mm 	1206.000000mm 	0.000000mm 	1.000000mV 	36.114474deg
475.000000mm 	1273.000000mm 	0.000000mm 	1.000000mV 	-1.879166deg
450.000000mm 	1340.000000mm 	0.000000mm 	1.000000mV 	-19.224089deg
475.000000mm 	1407.000000mm 	0.000000mm 	1.000000mV 	-57.217729deg
450.000000mm 	1474.000000mm 	0.000000mm 	1.000000mV 	-74.562652deg
475.000000mm 	1541.000000mm 	0.000000mm 	1.000000mV 	-112.556292deg
450.000000mm 	1608.000000mm 	0.000000mm 	1.000000mV 	-129.901215deg
475.000000mm 	1675.000000mm 	0.000000mm 	1.000000mV 	-167.894855deg
450.000000mm 	1742.000000mm 	0.000000mm 	1.000000mV 	174.760222deg
475.000000mm 	1809.000000mm 	0.000000mm 	1.000000mV 	136.766582deg
450.000000mm 	1876.000000mm 	0.000000mm 	1.000000mV 	119.421659deg
475.000000mm 	1943.000000mm 	0.000000mm 	1.000000mV 	81.428019deg
450.000000mm 	2010.000000mm 	0.000000mm 	1.000000mV 	64.083096deg
